,DS1.Bal.Dwn.S.R1,DS1.Bal.Dwn.S.R2,DS1.Bal.Dwn.S.R3,DS1.Bal.Dwn.W.R1,DS1.Bal.Dwn.W.R2,DS1.Bal.Dwn.W.R3,DS1.Bal.Up.S.R1,DS1.Bal.Up.S.R2,DS1.Bal.Up.S.R3,DS1.Bal.Up.W.R1,DS1.Bal.Up.W.R2,DS1.Bal.Up.W.R3,DS1.Cen.S.R1,DS1.Cen.S.R2,DS1.Cen.S.R3,DS1.Cen.W.R1,DS1.Cen.W.R2,DS1.Cen.W.R3,DS1.Pine.S.R1,DS1.Pine.S.R2,DS1.Pine.S.R3,DS1.Pine.W.R1,DS1.Pine.W.R2,DS1.Pine.W.R3,DS1.Wtlnds.S.R1,DS1.Wtlnds.S.R2,DS1.Wtlnds.S.R3,DS1.Wtlnds.W.R1,DS1.Wtlnds.W.R2,DS1.Wtlnds.W.R3,DS2.Bal.Dwn.S.R1,DS2.Bal.Dwn.S.R2,DS2.Bal.Dwn.S.R3,DS2.Bal.Dwn.W.R1,DS2.Bal.Dwn.W.R2,DS2.Bal.Dwn.W.R3,DS2.Bal.Up.S.R1,DS2.Bal.Up.S.R2,DS2.Bal.Up.S.R3,DS2.Bal.Up.W.R1,DS2.Bal.Up.W.R2,DS2.Bal.Up.W.R3,DS2.Cen.S.R1,DS2.Cen.S.R2,DS2.Cen.S.R3,DS2.Cen.W.R1,DS2.Cen.W.R2,DS2.Cen.W.R3,DS2.Pine.S.R1,DS2.Pine.S.R2,DS2.Pine.S.R3,DS2.Pine.W.R1,DS2.Pine.W.R2,DS2.Pine.W.R3,DS2.Wtlnds.S.R1,DS2.Wtlnds.S.R2,DS2.Wtlnds.S.R3,DS2.Wtlnds.W.R1,DS2.Wtlnds.W.R2,DS2.Wtlnds.W.R3
k__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Steroidobacterales;f__Steroidobacteraceae;g__NA;s__NA,14147,14273,14292,676,678,679,1694,1725,1696,62,65,67,68312,68348,68651,521,516,525,51847,51901,52063,1589,1573,1569,53069,52981,52804,4133,4083,4232,19276,19032,19258,3890,3962,3839,23351,23442,23502,24,19,22,28288,28374,28348,1,0,1,0,0,0,390,417,396,50998,51133,50844,1770,1738,1746
k__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__NA;s__NA,20944,21218,20716,3419,3521,3324,7355,7280,7319,425,436,422,0,0,0,4383,4398,4418,0,0,0,3457,3583,3493,0,0,0,1964,2011,2035,50265,50161,50134,12713,12714,12871,72711,73117,72485,148,154,150,95353,94943,95567,13,12,15,0,0,0,2808,2794,2853,20206,20130,20273,2549,2553,2567
k__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Hydrogenophaga;s__NA,6148,6071,6118,1939,1998,2020,1225,1229,1199,122,121,125,0,0,0,25508,25310,25622,0,0,0,16343,16349,16428,83,84,81,5218,5222,5183,5042,4981,4991,3135,3087,3154,7255,7177,7199,49,42,37,164283,163639,164361,55,49,51,2,2,2,16276,16324,16060,12267,12286,12055,28634,28609,28592
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__NA;s__NA,27954,27649,28153,1799,1844,1767,5731,5823,5671,46,53,51,37404,37396,37343,2178,2108,2225,13190,13293,13288,1034,1010,1049,7166,7107,7293,996,995,966,67733,67824,68078,7747,7732,7827,74412,74436,74148,48,59,49,28698,28779,28761,2,3,1,2,1,3,439,453,430,15448,15684,15202,355,345,353
k__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__Dechloromonas;s__NA,271,256,302,161,146,202,69,74,68,23,28,21,38546,38546,38263,1584,1533,1613,1062,1027,1052,1389,1404,1420,65417,65612,65499,1839,1877,1860,6225,6319,6291,1576,1615,1639,4516,4541,4472,12,9,8,99208,99067,99393,4,6,6,2,1,2,6438,6523,6492,54799,54797,54579,2158,2241,2142
k__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Alteromonadaceae;g__Rheinheimera;s__NA,0,0,0,249,245,231,0,0,0,47,43,48,0,0,0,2600,2568,2544,0,0,0,14866,14786,14677,0,0,0,20050,19979,19924,222,239,226,328,324,295,222,218,241,33,29,26,103230,103283,103400,17,22,17,0,0,0,17687,18047,17691,18019,17848,17890,106232,106836,106378
k__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Rhodoferax;s__NA,9105,8979,9201,15012,15114,15217,6148,6127,6009,942,909,915,0,0,0,1195,1211,1136,0,0,0,5187,5056,5282,0,0,0,1082,1062,1087,37100,37042,37144,24895,24754,25047,55871,55914,55876,289,262,300,93609,93438,93309,80,85,75,0,0,0,17085,16869,17061,6070,6032,6043,4047,4059,4091
k__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiia;o__Pedosphaerales;f__Pedosphaeraceae;g__NA;s__NA,9954,9877,9905,229,232,200,5056,5084,4973,56,78,56,14494,14361,14598,37,44,44,21031,20980,21051,175,165,170,10997,10975,10928,296,283,290,48177,48400,48062,5998,6133,5977,67718,67743,68087,30,23,37,30068,30148,30018,0,0,0,0,0,0,293,317,290,39837,39788,39443,1076,1104,1090
k__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Rhizobacter;s__NA,67588,67387,67533,3150,3168,3231,19472,19485,19666,355,375,360,0,0,0,74,65,79,0,0,0,89,81,81,0,0,0,757,734,734,37098,36910,37251,9086,9148,9059,82707,82509,82722,108,92,97,17452,17506,17453,4,4,4,0,0,0,500,493,476,8661,8546,8726,836,826,862
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Spirosomataceae;g__Arcicella;s__NA,0,0,0,1182,1198,1224,89,101,94,261,280,250,0,0,0,3175,3212,3164,177,168,187,2132,2155,2201,1729,1698,1693,4041,4110,4057,9270,9394,9178,3377,3410,3353,5671,5506,5617,62,59,63,38870,38759,38921,19,21,19,2,1,0,7967,7894,8021,8298,8320,8244,156147,155969,156346
