,DS1.Bal.Dwn.S.R1,DS1.Bal.Dwn.S.R2,DS1.Bal.Dwn.S.R3,DS1.Bal.Dwn.W.R1,DS1.Bal.Dwn.W.R2,DS1.Bal.Dwn.W.R3,DS1.Bal.Up.S.R1,DS1.Bal.Up.S.R2,DS1.Bal.Up.S.R3,DS1.Bal.Up.W.R1,DS1.Bal.Up.W.R2,DS1.Bal.Up.W.R3,DS1.Cen.S.R1,DS1.Cen.S.R2,DS1.Cen.S.R3,DS1.Cen.W.R1,DS1.Cen.W.R2,DS1.Cen.W.R3,DS1.Pine.S.R1,DS1.Pine.S.R2,DS1.Pine.S.R3,DS1.Pine.W.R1,DS1.Pine.W.R2,DS1.Pine.W.R3,DS1.Wtlnds.S.R1,DS1.Wtlnds.S.R2,DS1.Wtlnds.S.R3,DS1.Wtlnds.W.R1,DS1.Wtlnds.W.R2,DS1.Wtlnds.W.R3,DS2.Bal.Dwn.S.R1,DS2.Bal.Dwn.S.R2,DS2.Bal.Dwn.S.R3,DS2.Bal.Dwn.W.R1,DS2.Bal.Dwn.W.R2,DS2.Bal.Dwn.W.R3,DS2.Bal.Up.S.R1,DS2.Bal.Up.S.R2,DS2.Bal.Up.S.R3,DS2.Bal.Up.W.R1,DS2.Bal.Up.W.R2,DS2.Bal.Up.W.R3,DS2.Cen.S.R1,DS2.Cen.S.R2,DS2.Cen.S.R3,DS2.Cen.W.R1,DS2.Cen.W.R2,DS2.Cen.W.R3,DS2.Pine.S.R1,DS2.Pine.S.R2,DS2.Pine.S.R3,DS2.Pine.W.R1,DS2.Pine.W.R2,DS2.Pine.W.R3,DS2.Wtlnds.S.R1,DS2.Wtlnds.S.R2,DS2.Wtlnds.S.R3,DS2.Wtlnds.W.R1,DS2.Wtlnds.W.R2,DS2.Wtlnds.W.R3
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Aurantisolimonas;s__NA,542,536,550,413,421,422,0,0,0,37,44,29,2345,2400,2377,133,133,143,3008,3006,3063,0,0,0,1145,1135,1064,45,53,43,9915,9879,10037,1000,1047,1039,14928,14619,14980,15,16,13,16382,16623,16160,0,0,0,0,0,0,65,68,65,1253,1239,1272,147,149,155
k__Bacteria;p__Actinomycetota;c__Actinobacteria;o__Micrococcales;f__Cellulomonadaceae;g__Cellulomonas;s__NA,530,537,559,228,239,201,4,2,5,50,57,55,0,0,0,0,0,0,4246,4261,4285,427,415,421,1520,1503,1566,65,65,63,6408,6558,6441,834,813,842,6945,6856,6960,17,15,21,28544,28823,28408,0,0,0,0,0,0,175,183,168,530,517,525,64,71,70
k__Bacteria;p__Patescibacteria;c__ABY1;o__Candidatus_Magasanikbacteria;f__NA;g__NA;s__NA,0,0,0,865,833,875,202,187,189,299,303,293,0,0,0,2559,2629,2532,668,609,692,1978,1846,1990,7727,7702,7617,2706,2810,2687,757,762,752,3189,3208,3166,783,768,813,149,171,158,357,378,367,17,15,19,0,0,0,1844,1880,1821,22539,22788,22583,3821,3911,3738
k__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__NA;f__NA;g__NA;s__NA,118,108,99,1002,982,1012,48,38,46,29,30,21,6614,6599,6796,161,168,158,3401,3358,3343,321,305,351,5082,5200,4999,420,431,397,3210,3161,3236,2498,2486,2576,3777,3753,3699,65,72,52,4327,4311,4251,13,11,16,0,0,0,977,990,983,17189,17017,16860,1044,1008,1046
k__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Gemmatales;f__Gemmataceae;g__Fimbriiglobus;s__NA,6396,6345,6400,522,525,529,324,275,327,35,43,34,0,0,0,66,60,74,4441,4457,4492,0,0,0,146,106,143,210,238,203,14866,14664,14864,1155,1165,1149,15650,15701,15745,20,20,31,6106,6173,6162,2,3,2,1,2,0,42,42,48,127,111,123,23,21,27
k__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Aquabacterium;s__NA,0,0,0,1098,1110,1054,0,0,0,434,418,424,0,0,0,1856,1949,1830,0,0,0,2022,2003,2066,0,0,0,957,945,969,757,762,807,1471,1439,1484,918,923,927,155,164,154,34392,34281,34654,11,7,11,0,0,0,2214,2204,2225,1994,1946,1969,1733,1679,1709
k__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Leptolyngbyales;f__Leptolyngbyaceae;g__Leptolyngbya_ANT.L52.2;s__NA,0,0,0,23,23,20,0,0,0,0,0,0,21168,21186,21252,116,99,129,3361,3367,3423,80,86,82,0,0,0,0,0,0,0,0,0,13,16,11,0,0,0,0,0,0,24830,24912,24763,0,0,0,0,0,0,71,70,75,42,33,37,0,0,0
k__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Polaromonas;s__NA,25196,25091,25243,244,233,248,1334,1314,1285,120,110,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4265,4214,4235,3015,3007,2987,4384,4399,4513,33,30,33,3155,3183,3167,17,14,15,0,0,0,7378,7331,7441,552,528,577,5,2,4
k__Bacteria;p__Planctomycetota;c__vadinHA49;o__NA;f__NA;g__NA;s__NA,0,0,0,1228,1198,1171,218,200,202,53,65,49,0,0,0,0,0,0,6781,6824,6853,0,0,0,2416,2406,2492,20,18,29,5041,5106,5048,2556,2530,2465,13874,13967,13947,41,45,41,7072,7139,7096,2,0,1,0,0,0,294,311,289,9741,9543,9745,248,281,292
k__Bacteria;p__Bdellovibrionota;c__Oligoflexia;o__0319-6G20;f__NA;g__NA;s__NA,2049,2049,2108,579,547,572,432,380,433,84,85,87,1262,1359,1302,298,319,291,7802,7688,7803,769,790,737,2144,2066,2196,190,185,176,5648,5689,5668,5842,5901,5884,7766,7846,7820,121,164,136,6869,6799,6820,18,18,16,0,0,0,1107,1124,1128,5369,5318,5257,970,973,1006
k__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Shewanellaceae;g__Shewanella;s__NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,222,224,223,0,0,0,0,0,0,48332,48011,48037,0,0,0,0,0,0,3,1,3,0,0,0,0,0,0
k__Bacteria;p__Candidatus_Kapabacteria;c__Kapabacteria;o__Kapabacteriales;f__NA;g__NA;s__NA,1001,967,988,47,64,57,0,0,0,6,10,5,11666,11629,11540,235,233,217,4697,4672,4612,64,79,54,4873,4878,4958,140,156,145,3878,3898,4024,415,381,430,4131,4072,4180,1,2,0,6513,6441,6444,0,0,0,0,0,0,228,252,262,9973,10027,9966,458,430,479
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Flavobacterium;s__cheonhonense,0,0,0,19,10,16,0,0,0,0,0,0,0,0,0,322,345,367,865,811,827,6249,6065,6343,1395,1401,1365,27907,27536,27830,0,0,0,0,0,0,0,0,0,6,3,5,4986,4923,4928,0,0,0,0,0,0,720,729,753,594,637,565,5233,5301,5151
k__Bacteria;p__Acidobacteriota;c__Subgroup_22;o__NA;f__NA;g__NA;s__NA,0,0,0,0,0,0,134,148,140,18,17,25,5411,5242,5282,0,0,0,3579,3607,3613,0,0,0,2832,2853,2780,80,89,82,4859,4846,4925,347,316,327,5628,5651,5629,8,9,7,8039,8065,8099,0,0,0,0,0,0,71,75,75,16661,16756,16760,230,232,211
k__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Gammaproteobacteria_Incertae_Sedis;f__Unknown_Family;g__NA;s__NA,0,0,0,83,72,66,0,0,0,0,0,0,2105,2119,2036,0,0,0,4619,4624,4637,131,131,131,9517,9574,9406,456,463,455,4507,4512,4488,769,777,754,3421,3450,3401,4,4,4,6207,6270,6308,1,2,0,0,0,0,165,175,186,15279,15326,15326,329,346,338
k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__NA;f__NA;g__NA;s__NA,0,0,0,1714,1682,1727,89,88,93,39,53,36,0,0,0,1088,1074,1094,98,78,98,479,445,469,0,0,0,845,867,843,6554,6710,6579,4402,4487,4396,6011,6079,5965,61,66,38,15676,15741,15700,11,12,13,1,0,3,1194,1234,1173,8362,8337,8462,800,792,818
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__NA;g__NA;s__NA,1096,1126,1080,158,182,171,804,782,777,0,0,0,180,178,186,112,101,105,1887,1962,1865,47,40,41,1541,1545,1601,320,301,275,14641,14495,14897,1124,1097,1177,13979,13829,13968,3,4,4,6971,6862,7039,0,0,0,0,0,0,200,215,172,3142,3187,3150,225,237,220
k__Bacteria;p__Actinomycetota;c__Actinobacteria;o__Frankiales;f__Sporichthyaceae;g__Longivirga;s__NA,436,426,401,541,552,577,227,212,245,35,34,33,0,0,0,508,512,485,19144,19145,19045,609,636,672,3311,3310,3321,330,352,315,4579,4473,4514,607,652,535,8367,8193,8407,20,25,20,3409,3436,3364,0,0,0,0,0,0,58,58,53,4160,4194,4141,64,76,84
k__Bacteria;p__Actinomycetota;c__Actinobacteria;o__Micrococcales;f__Microbacteriaceae;g__Galbitalea;s__NA,2073,2071,2009,1178,1143,1197,1088,1122,1127,228,198,240,0,0,0,145,142,154,1061,1105,1115,201,175,195,0,0,0,506,513,506,9696,9779,9643,2094,2038,2100,16807,16887,16856,77,76,83,7988,8006,7898,1,2,1,0,0,0,497,523,501,2335,2251,2389,428,427,425
k__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Agitococcus;s__NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1606,1589,1658,436,419,467,740,702,791,2,1,2,42177,42159,42036,5,5,4,1,2,0,1009,942,1040,424,434,428,0,0,0
k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Dongiales;f__Dongiaceae;g__Dongia;s__NA,954,918,970,13,15,10,0,0,0,0,0,0,12388,12347,12365,0,0,0,0,0,0,0,0,0,1166,1150,1188,300,321,264,3470,3432,3513,1149,1182,1164,2310,2305,2274,6,5,5,17501,17375,17669,1,1,4,1,0,0,420,426,441,5984,6055,5876,429,451,418
k__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__B1-7BS;g__NA;s__NA,3721,3774,3718,154,191,145,986,975,973,4,3,4,0,0,0,37,38,33,0,0,0,114,101,113,0,0,0,115,129,95,4247,4279,4295,1003,1053,992,1866,1885,1847,1,0,0,6766,6711,6776,0,0,0,0,0,0,42,45,52,26741,26361,26811,212,218,198
k__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Acidovorax;s__delafieldii,0,0,0,97,80,105,0,0,0,27,39,25,0,0,0,16362,16534,16411,0,0,0,9674,9553,9838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,14,17,14703,14767,14579,16,23,10,2,2,2,1782,1769,1766,637,640,640,2405,2526,2360
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prolixibacteraceae;g__NA;s__NA,0,0,0,0,0,0,0,0,0,0,0,0,26699,26477,26575,95,101,119,826,891,835,38,47,41,3311,3359,3314,50,54,42,1441,1444,1390,64,67,62,89,98,99,0,0,0,9618,9596,9668,0,0,0,0,0,0,68,66,67,2971,2936,2926,229,235,245
k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Rhizobiaceae;g__NA;s__NA,24,15,25,634,645,606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1203,1182,1189,11597,11522,11653,2173,2118,2163,9122,8952,9048,27,32,27,16077,16156,15968,2,1,2,0,0,0,496,485,496,2376,2361,2361,1535,1521,1587
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidetes_BD2-2;g__NA;s__NA,0,0,0,12,10,15,0,0,0,0,0,0,34035,34033,33912,0,0,0,0,0,0,0,0,0,3874,3862,3872,0,0,0,314,293,312,99,114,94,355,343,376,0,0,0,916,931,947,0,0,0,0,0,0,13,17,10,5560,5496,5590,59,53,65
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__NA;s__NA,1826,1788,1814,193,198,186,472,451,484,3,7,6,241,248,248,641,613,627,2162,2185,2217,334,315,368,792,806,758,937,965,973,11208,11141,11542,1285,1261,1285,3079,3040,3124,6,9,4,20254,20072,20281,1,0,0,1,1,0,257,275,230,1041,1075,1050,253,272,241
k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Alteraurantiacibacter;s__NA,2379,2302,2363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5307,5364,5283,529,532,581,5935,5969,5959,1338,1302,1361,8921,9015,8760,1129,1136,1138,10913,10988,10964,30,30,32,5341,5408,5374,0,0,0,0,0,0,223,195,234,1634,1658,1583,359,347,384
k__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Aggregatilineales;f__Aggregatilineaceae;g__NA;s__NA,318,334,290,4,9,3,44,40,43,13,15,13,32533,32400,32675,0,0,0,2672,2784,2742,0,0,0,1999,1896,2002,371,362,350,517,500,513,244,242,251,518,503,489,3,2,3,2036,2011,2044,0,0,0,0,0,0,87,88,66,2249,2231,2277,97,104,104
k__Bacteria;p__Actinomycetota;c__Acidimicrobiia;o__Actinomarinales;f__NA;g__NA;s__NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3434,3515,3355,559,579,525,1956,1963,1975,10,10,4,30272,30396,29991,2,2,3,0,0,0,262,270,258,6685,6780,6723,28,30,33
k__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Nitrosomonadaceae;g__mle1-7;s__NA,11792,11898,11770,10,9,16,1913,1884,1937,15,21,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6835,6766,6774,1452,1399,1451,4960,4960,4942,11,7,10,5698,5673,5717,0,0,0,0,0,0,19,24,24,9657,9621,9636,0,0,0
k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Beijerinckiaceae;g__Bosea;s__NA,0,0,0,742,717,742,0,0,0,0,0,0,0,0,0,4576,4594,4659,0,0,0,0,0,0,0,0,0,4075,4030,4022,4488,4496,4478,765,771,784,3301,3302,3246,23,17,26,13736,13698,13742,3,2,2,0,0,0,626,620,640,4478,4480,4606,5284,5396,5362
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Dinghuibacter;s__NA,660,684,624,755,793,756,0,0,0,119,131,113,6975,7039,6924,0,0,0,6132,6244,6113,201,194,193,5269,5334,5308,506,528,489,4727,4783,4748,790,793,717,5079,5024,5153,30,39,27,5852,5812,5797,1,0,3,0,0,0,135,134,118,4606,4535,4555,189,208,197
k__Bacteria;p__Actinomycetota;c__Acidimicrobiia;o__Microtrichales;f__Microtrichaceae;g__IMCC26207;s__NA,930,945,945,839,822,793,77,76,82,43,38,43,2766,2891,2770,599,585,614,3341,3274,3359,461,454,447,5186,5120,5092,641,697,663,5521,5534,5561,830,804,837,8871,8956,8844,28,34,25,3511,3418,3501,0,0,0,0,0,0,87,73,91,7873,7828,7997,133,131,138
k__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Sutterellaceae;g__NA;s__NA,0,0,0,35,29,35,0,0,0,9,8,6,0,0,0,70,64,52,0,0,0,25,33,29,0,0,0,200,221,211,5429,5426,5360,851,856,833,2724,2839,2781,6,6,5,13632,13616,13614,0,0,0,0,0,0,119,114,105,18484,18593,18473,138,135,127
k__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Polynucleobacter;s__asymbioticus,0,0,0,34,36,32,0,0,0,16,17,8,0,0,0,161,170,153,0,0,0,9050,8991,9094,0,0,0,24122,24312,24163,0,0,0,77,71,74,104,100,116,2,5,4,0,0,0,8,8,8,0,0,0,7967,7851,8230,0,0,0,175,166,206
k__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;s__peli,0,0,0,637,631,654,0,0,0,369,400,358,0,0,0,0,0,0,0,0,0,1143,1183,1146,0,0,0,848,836,870,683,653,672,196,207,199,429,418,425,107,124,122,17399,17421,17470,4,3,7,0,0,0,1692,1712,1674,5645,5543,5642,11851,11803,11683
k__Bacteria;p__Thermodesulfobacteriota;c__Desulfuromonadia;o__Geobacterales;f__Geobacteraceae;g__Pelotalea;s__NA,0,0,0,44,46,46,0,0,0,0,0,0,19123,18960,19210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5909,5835,5996,640,632,639,1628,1693,1604,2,0,3,13179,13184,13112,0,0,0,0,0,0,377,378,376,0,0,0,0,0,0
k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Paracoccaceae;g__Paracoccus;s__NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201,187,220,2456,2489,2465,201,185,214,488,485,468,0,0,0,35818,35783,35606,0,0,0,0,0,0,379,369,341,509,527,523,497,518,485
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Spirosomataceae;g__Flectobacillus;s__lacus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162,150,157,0,0,0,150,152,137,0,0,0,0,0,0,0,0,0,0,0,0,36325,36161,36252,7,4,5,0,0,0,3126,3153,3066,276,298,261,469,510,467
k__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__NA;s__NA,0,0,0,87,98,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6389,6402,6333,2189,2225,2204,6383,6277,6489,12,7,23,22132,22095,22021,8,1,8,0,0,0,401,374,384,2377,2466,2394,263,244,279
k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Xanthobacteraceae;g__Pseudorhodoplanes;s__NA,0,0,0,377,339,344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,416,410,388,7405,7385,7276,828,843,795,5923,5795,5763,25,30,26,9717,9745,9472,0,0,0,0,0,0,184,180,202,14579,14558,14520,202,192,190
k__Bacteria;p__Acidobacteriota;c__Blastocatellia;o__Blastocatellales;f__Blastocatellaceae;g__NA;s__NA,1096,1062,1123,22,21,20,0,0,0,6,8,8,0,0,0,54,76,58,12245,12343,12268,121,132,118,0,0,0,0,0,0,7610,7558,7561,701,719,679,4383,4305,4324,4,1,4,12923,12887,12954,0,0,0,0,0,0,71,71,72,233,247,235,101,100,108
k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Caulobacter;s__NA,0,0,0,460,423,425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,637,666,656,6592,6638,6460,3246,3190,3252,7345,7231,7127,25,21,27,17247,17249,16974,1,1,2,0,0,0,865,900,896,1167,1150,1161,1950,1886,1896
k__Bacteria;p__Actinomycetota;c__Actinobacteria;o__Frankiales;f__Sporichthyaceae;g__NA;s__NA,1531,1523,1530,1384,1387,1370,263,243,244,117,131,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,101,70,9141,9017,9106,1230,1181,1275,11462,11262,11379,46,43,55,7835,7812,7921,78,78,80,0,0,0,5379,5519,5387,700,688,731,37,49,38
k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Rhizorhabdus;s__NA,0,0,0,404,408,442,939,962,948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,55,60,13498,13551,13539,2823,2764,2849,13966,14064,14001,6,9,3,6360,6416,6471,0,0,0,0,0,0,243,225,225,382,375,392,358,378,383
k__Bacteria;p__Acidobacteriota;c__Blastocatellia;o__11-24;f__NA;g__NA;s__NA,6879,6889,6841,12,13,10,1831,1825,1764,6,8,8,361,345,362,0,0,0,6622,6677,6611,0,0,0,0,0,0,60,64,72,6424,6451,6323,729,757,699,8086,8105,8116,2,2,1,7683,7761,7701,0,0,0,0,0,0,48,53,46,233,228,239,14,15,13
k__Bacteria;p__Thermodesulfobacteriota;c__NA;o__NA;f__NA;g__NA;s__NA,0,0,0,30,39,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,26,645,633,631,315,322,304,7294,7308,7318,804,793,769,9460,9544,9382,13,9,12,6258,6189,6305,2,2,2,0,0,0,122,126,126,13497,13665,13496,313,302,308
k__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Alkanindiges;s__NA,0,0,0,36,38,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127,146,105,0,0,0,80,78,88,0,0,0,4151,4213,4136,59,60,52,7,7,7,32613,32521,32946,10,15,7,0,0,0,1289,1331,1278,0,0,0,303,311,308
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Sediminibacterium;s__NA,0,0,0,93,86,102,0,0,0,15,10,13,0,0,0,2649,2733,2712,904,966,959,4403,4381,4479,0,0,0,5379,5418,5384,3766,3737,3846,688,669,680,6101,6109,5983,9,11,11,10633,10652,10799,25,25,30,0,0,0,1633,1706,1644,955,973,951,1362,1331,1370
k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Phenylobacterium;s__NA,0,0,0,51,51,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,827,795,830,6187,6116,6119,1514,1543,1469,8990,8996,8995,4,6,4,17042,16995,16959,4,4,2,0,0,0,442,467,411,2080,2091,2007,1371,1378,1364
k__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__NA;g__NA;s__NA,531,537,493,387,401,370,20,12,24,86,125,95,0,0,0,360,357,353,117,131,127,318,321,309,750,750,768,70,69,68,7459,7385,7462,3498,3543,3494,1822,1810,1850,27,24,30,16182,15973,16278,5,6,8,0,0,0,776,719,772,5451,5543,5379,203,197,210
k__Bacteria;p__Actinomycetota;c__Actinobacteria;o__Micrococcales;f__Intrasporangiaceae;g__Oryzobacter;s__NA,0,0,0,0,0,0,0,0,0,0,0,0,6134,6338,6177,0,0,0,4107,4063,4144,131,122,120,562,569,560,0,0,0,1145,1092,1169,0,0,0,622,585,649,0,0,0,23250,23041,23156,0,0,0,0,0,0,245,257,249,1825,1830,1791,0,0,0
k__Bacteria;p__Actinomycetota;c__Actinobacteria;o__Micrococcales;f__Microbacteriaceae;g__MWH-Ta3;s__NA,0,0,0,42,44,33,0,0,0,0,0,0,0,0,0,103,104,114,0,0,0,12587,12718,12714,0,0,0,24798,24884,24909,0,0,0,0,0,0,0,0,0,4,5,4,0,0,0,3,1,2,0,0,0,204,206,193,0,0,0,0,0,0
k__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Sulfurimonadaceae;g__Sulfuricurvum;s__NA,0,0,0,41,40,39,0,0,0,65,71,68,10524,10505,10568,479,484,478,0,0,0,0,0,0,0,0,0,0,0,0,2771,2778,2818,3648,3647,3620,193,189,192,24,23,22,15364,15343,15359,13,15,14,1,0,0,4059,4060,4023,297,292,290,239,237,257
k__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Arcobacteraceae;g__Arcobacter;s__NA,0,0,0,218,226,201,0,0,0,0,0,0,0,0,0,7091,7080,6978,0,0,0,4863,4850,4762,0,0,0,330,344,347,0,0,0,1539,1579,1539,89,99,83,2,3,4,2493,2498,2486,26,36,35,0,0,0,19404,19641,19386,0,0,0,1638,1583,1565
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__Pedobacter;s__NA,0,0,0,31,26,29,0,0,0,7,4,2,0,0,0,79,59,81,0,0,0,312,287,340,0,0,0,0,0,0,11782,11974,11970,4495,4467,4565,3659,3651,3574,8,4,10,10275,10225,10411,6,6,5,0,0,0,1389,1334,1405,806,787,821,4685,4568,4776
k__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Neobacillus;s__NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4636,4548,4653,535,552,546,1777,1796,1754,4,4,5,22894,22946,22980,1,1,1,0,0,0,326,323,327,6156,6100,6132,1095,1099,1087
k__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Oxalobacteraceae;g__Massilia;s__violaceinigra,0,0,0,76,73,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,140,139,0,0,0,0,0,0,3841,3880,3886,1210,1217,1226,4561,4494,4478,3,3,7,22589,22716,22682,12,13,10,0,0,0,2335,2297,2249,743,732,726,1784,1761,1788
k__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Phormidesmiales;f__Nodosilineaceae;g__Nodosilinea_PCC-7104;s__NA,0,0,0,0,0,0,0,0,0,0,0,0,20566,20635,20717,66,65,57,1298,1293,1276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14856,15091,14841,1,1,0,0,0,0,16,15,16,0,0,0,0,0,0
k__Bacteria;p__Thermodesulfobacteriota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfocapsaceae;g__Desulfocastanea;s__NA,0,0,0,10,11,9,0,0,0,0,0,0,21528,21558,21509,0,0,0,570,579,553,0,0,0,1729,1686,1755,45,43,55,6131,6142,6131,940,961,960,830,862,821,1,0,0,3256,3222,3232,0,0,0,0,0,0,145,147,145,1528,1578,1564,0,0,0
k__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Microcystaceae;g__Pleurocapsa_PCC-7327;s__concharum,0,0,0,0,0,0,0,0,0,0,0,0,33735,33510,33713,326,336,324,432,452,418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1984,1998,2000,3,7,2,0,0,0,104,101,107,0,0,0,0,0,0
k__Bacteria;p__Bacillota;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium;s__NA,0,0,0,9,10,7,0,0,0,14,14,21,120,102,114,608,606,593,1631,1648,1665,159,180,172,4248,4281,4222,565,550,578,813,809,864,418,427,411,385,378,389,5,5,4,13330,13384,13415,0,0,0,0,0,0,920,888,912,12754,12859,12844,529,551,539
k__Bacteria;p__Thermodesulfobacteriota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfobulbaceae;g__Desulfobulbus;s__NA,0,0,0,7,11,7,0,0,0,0,0,0,27782,27654,27577,0,0,0,0,0,0,0,0,0,0,0,0,60,69,50,2161,2141,2090,248,251,245,1126,1170,1128,1,2,0,2239,2159,2182,1,1,1,0,0,0,129,123,144,2526,2567,2621,51,67,38
